문장번호,문장내용,형태소(품사),형태소(단어만)
194,그런 손님 두 번만 만났다가는 기절하겠다고 하겠지요.,"[('그렇다', 'Adjective'), ('손님', 'Noun'), ('두', 'Noun'), ('번만', 'Noun'), ('만나다', 'Verb'), ('기절', 'Noun'), ('하다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['그렇다', '손님', '두', '번만', '만나다', '기절', '하다', '하다']"
195,윤직원 영감은 맸던 염낭끈을 또 도로 풀더니,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('매다', 'Verb'), ('염낭', 'Noun'), ('끈', 'Noun'), ('을', 'Josa'), ('또', 'Noun'), ('도로', 'Noun'), ('풀다', 'Verb')]","['윤직', '영감', '매다', '염낭', '끈', '또', '도로', '풀다']"
196,5전박이 한푼을 더 꺼냅니다.,"[('5', 'Number'), ('전박', 'Noun'), ('이', 'Josa'), ('한', 'Determiner'), ('푼', 'Noun'), ('을', 'Josa'), ('더', 'Noun'), ('꺼내다', 'Verb'), ('.', 'Punctuation')]","['전박', '푼', '더', '꺼내다']"
197,이 5전은 무단스레 더 주는 것이거니 생각하면 다시금 역정이 나고 돈이 아까왔지만,"[('이', 'Noun'), ('5', 'Number'), ('전', 'Noun'), ('은', 'Josa'), ('무단', 'Noun'), ('스레', 'Noun'), ('더', 'Noun'), ('주다', 'Verb'), ('것', 'Noun'), ('이', 'Determiner'), ('거', 'Noun'), ('니', 'Josa'), ('생각', 'Noun'), ('하다', 'Verb'), ('다시금', 'Noun'), ('역정', 'Noun'), ('이', 'Josa'), ('나다', 'Verb'), ('돈', 'Noun'), ('이', 'Josa'), ('아깝다', 'Adjective'), ('오다', 'Verb')]","['이', '전', '무단', '스레', '더', '주다', '것', '거', '생각', '하다', '다시금', '역정', '나다', '돈', '아깝다', '오다']"
198,인력거꾼이 부둥부둥 떼를 쓰는 데는 배겨낼 수가 없다고,"[('인력거', 'Noun'), ('꾼', 'Suffix'), ('이', 'Josa'), ('부둥부둥', 'Adverb'), ('떼', 'Noun'), ('를', 'Josa'), ('쓰다', 'Verb'), ('데', 'Noun'), ('는', 'Josa'), ('배겨낼', 'Noun'), ('수가', 'Noun'), ('없다', 'Adjective')]","['인력거', '떼', '쓰다', '데', '배겨낼', '수가', '없다']"
199,진실로 단념을 한 것입니다.,"[('진실로', 'Adverb'), ('단념', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('것', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['단념', '하다', '것', '이다']"
200,"""……거참!…… 옜네!","[('""……', 'Punctuation'), ('거참', 'Noun'), ('!……', 'Punctuation'), ('옜', 'Noun'), ('네', 'Josa'), ('!', 'Punctuation')]","['거참', '옜']"
201,도통 25전이네.,"[('도통', 'Noun'), ('25', 'Number'), ('전이', 'Noun'), ('네', 'Josa'), ('.', 'Punctuation')]","['도통', '전이']"
202,이제넌 자네가 내 허리띠에다가 목을 매달어두,"[('이', 'Determiner'), ('제', 'Modifier'), ('넌', 'Noun'), ('자네', 'Noun'), ('가', 'Josa'), ('내', 'Noun'), ('허리띠', 'Noun'), ('에다가', 'Josa'), ('목', 'Noun'), ('을', 'Josa'), ('매달다', 'Verb')]","['넌', '자네', '내', '허리띠', '목', '매달다']"
203,"쇠천 한푼 막무가낼세!""
 인려거꾼은 윤직원 영감이 말도 다 하기 전에 딸그랑하는 대소 백통화 서푼을 그 육중한 손바닥에다가 받아 쥐고는","[('쇠', 'Noun'), ('천', 'Suffix'), ('한', 'Determiner'), ('푼', 'Noun'), ('막', 'Noun'), ('무가', 'Noun'), ('내다', 'Verb'), ('!""', 'Punctuation'), ('\n ', 'Foreign'), ('이다', 'Verb'), ('거', 'Noun'), ('꾼', 'Suffix'), ('은', 'Josa'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('이', 'Josa'), ('말', 'Noun'), ('도', 'Josa'), ('다', 'Adverb'), ('하다', 'Verb'), ('전', 'Noun'), ('에', 'Josa'), ('딸그', 'Noun'), ('랑', 'Josa'), ('하다', 'Verb'), ('대소', 'Noun'), ('백', 'Modifier'), ('통화', 'Noun'), ('서푼', 'Noun'), ('을', 'Josa'), ('그', 'Noun'), ('육중', 'Noun'), ('한', 'Josa'), ('손바닥', 'Noun'), ('에다가', 'Josa'), ('받다', 'Verb'), ('쥐다', 'Verb')]","['쇠', '푼', '막', '무가', '내다', '이다', '거', '윤직', '영감', '말', '하다', '전', '딸그', '하다', '대소', '통화', '서푼', '그', '육중', '손바닥', '받다', '쥐다']"
204,고맙다고 하는지 무어라고 하는지 분명찮게 입안의 소리로 두런거리면서,"[('고맙다', 'Adjective'), ('하다', 'Verb'), ('무어', 'Noun'), ('라고', 'Josa'), ('하다', 'Verb'), ('분명찮', 'Noun'), ('게', 'Josa'), ('입안', 'Noun'), ('의', 'Josa'), ('소리', 'Noun'), ('로', 'Josa'), ('두', 'Determiner'), ('런', 'Noun'), ('거리', 'Noun'), ('면서', 'Noun')]","['고맙다', '하다', '무어', '하다', '분명찮', '입안', '소리', '런', '거리', '면서']"
205,놓았던 인력거 채장을 집어 들고 씽 하니 가버립니다.,"[('놓다', 'Verb'), ('인력거', 'Noun'), ('채', 'Noun'), ('장', 'Suffix'), ('을', 'Josa'), ('집다', 'Verb'), ('들다', 'Verb'), ('씽', 'Adverb'), ('하니', 'Noun'), ('가버리다', 'Verb'), ('.', 'Punctuation')]","['놓다', '인력거', '채', '집다', '들다', '하니', '가버리다']"
206,"""에잉!","[('""', 'Punctuation'), ('에잉', 'Noun'), ('!', 'Punctuation')]",['에잉']
207,권연시리 그년의 디를 갔다가 그놈의 인력거꾼을 잘못 만나서 실갱이를 허구,"[('권연', 'Noun'), ('시리', 'Noun'), ('그', 'Determiner'), ('년', 'Noun'), ('의', 'Josa'), ('디', 'Noun'), ('를', 'Josa'), ('가다', 'Verb'), ('그', 'Determiner'), ('놈', 'Noun'), ('의', 'Josa'), ('인력거', 'Noun'), ('꾼', 'Suffix'), ('을', 'Josa'), ('잘못', 'Noun'), ('만나다', 'Verb'), ('실갱', 'Noun'), ('이를', 'Josa'), ('허구', 'Noun')]","['권연', '시리', '년', '디', '가다', '놈', '인력거', '잘못', '만나다', '실갱', '허구']"
208,애맨 돈 5전을 더 쓰구 히였구나!,"[('애맨', 'Noun'), ('돈', 'Noun'), ('5', 'Number'), ('전', 'Noun'), ('을', 'Josa'), ('더', 'Noun'), ('쓰다', 'Verb'), ('히', 'Adverb'), ('이다', 'Verb'), ('!', 'Punctuation')]","['애맨', '돈', '전', '더', '쓰다', '이다']"
209,고년 춘심이년이 방정 맞게와 서 넌 명창대횐(名唱大會)지 급살인지 헌다구,"[('고', 'Modifier'), ('년', 'Noun'), ('추다', 'Verb'), ('심', 'Noun'), ('이', 'Josa'), ('년', 'Noun'), ('이', 'Josa'), ('방정', 'Noun'), ('맞다', 'Verb'), ('서다', 'Verb'), ('넌', 'Noun'), ('명창', 'Noun'), ('대', 'Modifier'), ('횐', 'Noun'), ('(', 'Punctuation'), ('名唱大會', 'Foreign'), (')', 'Punctuation'), ('지다', 'Verb'), ('급살', 'Noun'), ('인지', 'Josa'), ('허다', 'Verb')]","['년', '추다', '심', '년', '방정', '맞다', '서다', '넌', '명창', '횐', '지다', '급살', '허다']"
210,"쏘사악쏘삭허기때미 그 년의 디를 갔다가…… ""윤직원 영감은 역정 끝에 춘심이더러 귀먹은 욕을 하던 것이나","[('쏘다', 'Verb'), ('사악', 'Noun'), ('쏘다', 'Verb'), ('삭', 'Noun'), ('허기', 'Noun'), ('때', 'Noun'), ('밉다', 'Adjective'), ('그', 'Noun'), ('년', 'Noun'), ('의', 'Josa'), ('디', 'Noun'), ('를', 'Josa'), ('가다', 'Verb'), ('……', 'Punctuation'), ('""', 'Punctuation'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('역정', 'Noun'), ('끝', 'Noun'), ('에', 'Josa'), ('추다', 'Verb'), ('심다', 'Verb'), ('귀', 'Noun'), ('먹다', 'Verb'), ('욕', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('것', 'Noun'), ('이나', 'Josa')]","['쏘다', '사악', '쏘다', '삭', '허기', '때', '밉다', '그', '년', '디', '가다', '윤직', '영감', '역정', '끝', '추다', '심다', '귀', '먹다', '욕', '하다', '것']"
211,그렇지만 그건 애먼 탓입니다.,"[('그렇지만', 'Conjunction'), ('그건', 'Adverb'), ('애먼', 'Modifier'), ('탓', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['탓', '이다']"
212,왜,"[('왜', 'Noun')]",['왜']
213,부민관의 명창대회를 무슨 춘심이가 가자고 해서 갔나요?,"[('부민관', 'Noun'), ('의', 'Josa'), ('명창', 'Noun'), ('대회', 'Noun'), ('를', 'Josa'), ('무슨', 'Noun'), ('추다', 'Verb'), ('심다', 'Verb'), ('가다', 'Verb'), ('하다', 'Verb'), ('가다', 'Verb'), ('?', 'Punctuation')]","['부민관', '명창', '대회', '무슨', '추다', '심다', '가다', '하다', '가다']"
214,춘심이는 그저 부민관에서 명창대회를 하는데,"[('추다', 'Verb'), ('심다', 'Verb'), ('그저', 'Adverb'), ('부민관', 'Noun'), ('에서', 'Josa'), ('명창', 'Noun'), ('대회', 'Noun'), ('를', 'Josa'), ('하다', 'Verb')]","['추다', '심다', '부민관', '명창', '대회', '하다']"
215,제 형 운심이도 연주에 나간다고 자랑삼아 재잘거리는 것을,"[('제', 'Noun'), ('형', 'Noun'), ('운', 'Noun'), ('심다', 'Verb'), ('연주', 'Noun'), ('에', 'Josa'), ('나가다', 'Verb'), ('자랑삼다', 'Verb'), ('재잘거리다', 'Verb'), ('것', 'Noun'), ('을', 'Josa')]","['제', '형', '운', '심다', '연주', '나가다', '자랑삼다', '재잘거리다', '것']"
216,윤직원 영감 자기가 깜짝 반겨 선,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('자기', 'Noun'), ('가', 'Josa'), ('깜짝', 'Noun'), ('반기다', 'Verb'), ('선', 'Noun')]","['윤직', '영감', '자기', '깜짝', '반기다', '선']"
217,되레 춘심이더러 가자가자 해서 꾀어가지고 갔으면서…… 사실 말이지,"[('되레', 'Noun'), ('추다', 'Verb'), ('심다', 'Verb'), ('가다', 'Verb'), ('하다', 'Verb'), ('꾀다', 'Verb'), ('가다', 'Verb'), ('……', 'Punctuation'), ('사실', 'Noun'), ('말', 'Noun'), ('이지', 'Josa')]","['되레', '추다', '심다', '가다', '하다', '꾀다', '가다', '사실', '말']"
218,춘심이가 그런 귀띔을 안 해주었으면 윤직원 영감은 오늘 명창 대회는 영영 못 가고 말았을 것이고,"[('추다', 'Verb'), ('심다', 'Verb'), ('그렇다', 'Adjective'), ('귀띔', 'Noun'), ('을', 'Josa'), ('안', 'Noun'), ('해주다', 'Verb'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('오늘', 'Noun'), ('명창', 'Noun'), ('대회', 'Noun'), ('는', 'Josa'), ('영영', 'Noun'), ('못', 'Noun'), ('가다', 'Verb'), ('말다', 'Verb'), ('것', 'Noun'), ('이고', 'Josa')]","['추다', '심다', '그렇다', '귀띔', '안', '해주다', '윤직', '영감', '오늘', '명창', '대회', '영영', '못', '가다', '말다', '것']"
219,그래서 다음날이라도 그걸 알았으면 냅다 발을 굴렀을 것입니다.,"[('그래서', 'Adverb'), ('다음', 'Noun'), ('날', 'Noun'), ('이라도', 'Josa'), ('그걸', 'Adverb'), ('알다', 'Verb'), ('냅다', 'Adverb'), ('발', 'Noun'), ('을', 'Josa'), ('구르다', 'Verb'), ('것', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['다음', '날', '알다', '발', '구르다', '것', '이다']"
220,2.,"[('2', 'Number'), ('.', 'Punctuation')]",[]
221,無賃乘車 奇術[무임승차 기술] 윤직원 영감은 명창대회를 무척 좋아합니다.,"[('無賃乘車', 'Foreign'), ('奇術', 'Foreign'), ('[', 'Punctuation'), ('무임', 'Noun'), ('승차', 'Noun'), ('기술', 'Noun'), (']', 'Punctuation'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('명창', 'Noun'), ('대회', 'Noun'), ('를', 'Josa'), ('무척', 'Noun'), ('좋아하다', 'Adjective'), ('.', 'Punctuation')]","['무임', '승차', '기술', '윤직', '영감', '명창', '대회', '무척', '좋아하다']"
222,아마 이 세상에 돈만 빼놓고는 둘째 가게 그 명창대회란 것을 좋아할 것입니다.,"[('아마', 'Noun'), ('이', 'Noun'), ('세상', 'Noun'), ('에', 'Josa'), ('돈', 'Noun'), ('만', 'Josa'), ('빼놓다', 'Verb'), ('둘째', 'Noun'), ('가게', 'Noun'), ('그', 'Noun'), ('명창', 'Noun'), ('대회', 'Noun'), ('란', 'Noun'), ('것', 'Noun'), ('을', 'Josa'), ('좋아하다', 'Adjective'), ('것', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['아마', '이', '세상', '돈', '빼놓다', '둘째', '가게', '그', '명창', '대회', '란', '것', '좋아하다', '것', '이다']"
223,윤직원 영감은 본이 전라도 태생인 관계도 있겠지만,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('보다', 'Verb'), ('전라도', 'Noun'), ('태생', 'Noun'), ('인', 'Josa'), ('관계도', 'Noun'), ('있다', 'Adjective')]","['윤직', '영감', '보다', '전라도', '태생', '관계도', '있다']"
224,그는 워낙 남도 소리며 음률 같은 것을 이만저만찮게 좋아합니다.,"[('그', 'Noun'), ('는', 'Josa'), ('워낙', 'Noun'), ('남도', 'Noun'), ('소리', 'Noun'), ('며', 'Josa'), ('음률', 'Noun'), ('같다', 'Adjective'), ('것', 'Noun'), ('을', 'Josa'), ('이만', 'Modifier'), ('저만', 'Modifier'), ('찮', 'Noun'), ('게', 'Josa'), ('좋아하다', 'Adjective'), ('.', 'Punctuation')]","['그', '워낙', '남도', '소리', '음률', '같다', '것', '찮', '좋아하다']"
225,그렇게 좋아하는 깐으로는,"[('그렇게', 'Adverb'), ('좋아하다', 'Adjective'), ('깔다', 'Verb')]","['좋아하다', '깔다']"
226,일년 삼백예순날을 밤낮으로라도 기생이며 광대며 를 사랑으로 불러다가 듣고 놀고 하고는 싶지만,"[('일', 'Modifier'), ('년', 'Noun'), ('삼', 'Modifier'), ('백', 'Modifier'), ('예순', 'Modifier'), ('날', 'Noun'), ('을', 'Josa'), ('밤낮', 'Noun'), ('으로라도', 'Josa'), ('기생', 'Noun'), ('이며', 'Josa'), ('광대', 'Noun'), ('며', 'Josa'), ('를', 'Noun'), ('사랑', 'Noun'), ('으로', 'Josa'), ('불다', 'Verb'), ('듣다', 'Verb'), ('놀다', 'Verb'), ('하고는', 'Josa'), ('싶다', 'Verb')]","['년', '날', '밤낮', '기생', '광대', '를', '사랑', '불다', '듣다', '놀다', '싶다']"
227,그렇게 하자면 일왈  돈이 여간만 많이 드나요!,"[('그렇게', 'Adverb'), ('하자', 'Noun'), ('면', 'Josa'), ('일왈', 'Noun'), ('돈', 'Noun'), ('이', 'Josa'), ('여간', 'Noun'), ('만', 'Josa'), ('많이', 'Adverb'), ('드나', 'Noun'), ('요', 'Josa'), ('!', 'Punctuation')]","['하자', '일왈', '돈', '여간', '드나']"
228,아마 일 년을 붙박이로 그렇게 하기로 하고,"[('아마', 'Noun'), ('일', 'Noun'), ('년', 'Noun'), ('을', 'Josa'), ('붙박다', 'Verb'), ('그렇게', 'Adverb'), ('하다', 'Verb'), ('하다', 'Verb')]","['아마', '일', '년', '붙박다', '하다', '하다']"
229,어느 권번이나 조선 음악 연구 회 같은 데 교섭을 해서 특별할인을 한다더라도 하루에 소불하 10원쯤은 쳐주어야 할 테니,"[('어느', 'Adverb'), ('권번', 'Noun'), ('이나', 'Josa'), ('조선', 'Noun'), ('음악', 'Noun'), ('연구', 'Noun'), ('회', 'Noun'), ('같다', 'Adjective'), ('데', 'Noun'), ('교섭', 'Noun'), ('을', 'Josa'), ('하다', 'Verb'), ('특별하다', 'Adjective'), ('하다', 'Verb'), ('하루', 'Noun'), ('에', 'Josa'), ('소', 'Modifier'), ('불하', 'Noun'), ('10원', 'Number'), ('쯤은', 'Foreign'), ('치다', 'Verb'), ('하다', 'Verb'), ('테', 'Noun'), ('니', 'Josa')]","['권번', '조선', '음악', '연구', '회', '같다', '데', '교섭', '하다', '특별하다', '하다', '하루', '불하', '치다', '하다', '테']"
230,하루에 십 원이면 한 달이면 삼백 원이라,"[('하루', 'Noun'), ('에', 'Josa'), ('십', 'Noun'), ('원', 'Modifier'), ('이면', 'Noun'), ('하다', 'Verb'), ('달이', 'Noun'), ('면', 'Josa'), ('삼백', 'Noun'), ('원', 'Noun'), ('이라', 'Josa')]","['하루', '십', '이면', '하다', '달이', '삼백', '원']"
231,그리고 일 년이면 3천…… 아유!,"[('그리고', 'Conjunction'), ('일', 'Noun'), ('년', 'Noun'), ('이', 'Suffix'), ('면', 'Josa'), ('3천', 'Number'), ('……', 'Punctuation'), ('아유', 'Noun'), ('!', 'Punctuation')]","['일', '년', '아유']"
232,그건 윤직원 영감으로 앉아서는 도무지 생각할 수도 없게시리 큰 돈입니다.천문학적 숫자란 건 아마 이런 경우에 써야 할 문잘걸요.,"[('그건', 'Adverb'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('으로', 'Josa'), ('앉다', 'Verb'), ('도무지', 'Noun'), ('생각', 'Noun'), ('하다', 'Verb'), ('수도', 'Noun'), ('없다', 'Adjective'), ('크다', 'Verb'), ('돈', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation'), ('천문학', 'Noun'), ('적', 'Suffix'), ('숫자', 'Noun'), ('란', 'Noun'), ('건', 'Noun'), ('아마', 'Noun'), ('이렇다', 'Adjective'), ('경우', 'Noun'), ('에', 'Josa'), ('써다', 'Verb'), ('하다', 'Verb'), ('물다', 'Verb'), ('걸', 'Noun'), ('요', 'Josa'), ('.', 'Punctuation')]","['윤직', '영감', '앉다', '도무지', '생각', '하다', '수도', '없다', '크다', '돈', '이다', '천문학', '숫자', '란', '건', '아마', '이렇다', '경우', '써다', '하다', '물다', '걸']"
233,한즉,"[('한', 'Determiner'), ('즉', 'Noun')]",['즉']
234,도저히 그건 아주 생심도 못할 일입니다.,"[('도저히', 'Noun'), ('그건', 'Adverb'), ('아주', 'Noun'), ('생심', 'Noun'), ('도', 'Josa'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('일', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['도저히', '아주', '생심', '하다', '일', '이다']"
235,그런데 그거야말로 사람 살 곳은 골골마다 있다든지,"[('그런데', 'Conjunction'), ('그거', 'Noun'), ('야말로', 'Josa'), ('사람', 'Noun'), ('살', 'Noun'), ('곳', 'Noun'), ('은', 'Josa'), ('골골', 'Adverb'), ('마다', 'Noun'), ('있다', 'Adjective')]","['그거', '사람', '살', '곳', '마다', '있다']"
236,윤직원 영감의 그다지도 뜻 두고 이루지 못하는 대원을 저으기나마 풀어주는 게 있으니,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('의', 'Josa'), ('그다지', 'Noun'), ('도', 'Josa'), ('뜻', 'Noun'), ('두다', 'Verb'), ('이루다', 'Verb'), ('못', 'VerbPrefix'), ('하다', 'Verb'), ('대원', 'Noun'), ('을', 'Josa'), ('저으기', 'Noun'), ('나마', 'Josa'), ('풀다', 'Verb'), ('게', 'Noun'), ('있다', 'Adjective')]","['윤직', '영감', '그다지', '뜻', '두다', '이루다', '하다', '대원', '저으기', '풀다', '게', '있다']"
237,라디오와 명창대회가 바로 그것입니다.,"[('라디오', 'Noun'), ('와', 'Josa'), ('명창', 'Noun'), ('대회', 'Noun'), ('가', 'Josa'), ('바로', 'Noun'), ('그것', 'Noun'), ('이다', 'Adjective'), ('.', 'Punctuation')]","['라디오', '명창', '대회', '바로', '그것', '이다']"
238,이완(李浣)이 대장으로 치면 군산( 群山)을 죄꼼은 깎고,"[('이완', 'Noun'), ('(', 'Punctuation'), ('李浣', 'Foreign'), (')', 'Punctuation'), ('이', 'Noun'), ('대장', 'Noun'), ('으로', 'Josa'), ('치면', 'Noun'), ('군산', 'Noun'), ('(', 'Punctuation'), ('群山', 'Foreign'), (')', 'Punctuation'), ('을', 'Josa'), ('죄꼼', 'Noun'), ('은', 'Josa'), ('깎다', 'Verb')]","['이완', '이', '대장', '치면', '군산', '죄꼼', '깎다']"
239,계수를 몇 가지 벤 만큼이나 하다 할는지요.,"[('계수', 'Noun'), ('를', 'Josa'), ('몇', 'Noun'), ('가지', 'Noun'), ('베다', 'Verb'), ('만큼이나', 'Josa'), ('하다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['계수', '몇', '가지', '베다', '하다', '하다']"
240,윤직원 영감은 그래서 바로 머리맡 연상(硯床) 위에 삼구(三球)짜리 라디오 한 세트를 매 두고,"[('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('은', 'Josa'), ('그래서', 'Adverb'), ('바로', 'Noun'), ('머리', 'Noun'), ('맡다', 'Verb'), ('연상', 'Noun'), ('(', 'Punctuation'), ('硯床', 'Foreign'), (')', 'Punctuation'), ('위', 'Noun'), ('에', 'Josa'), ('삼구', 'Noun'), ('(', 'Punctuation'), ('三球', 'Foreign'), (')', 'Punctuation'), ('짜다', 'Verb'), ('라디오', 'Noun'), ('하다', 'Verb'), ('세트', 'Noun'), ('를', 'Josa'), ('매', 'Noun'), ('두다', 'Verb')]","['윤직', '영감', '바로', '머리', '맡다', '연상', '위', '삼구', '짜다', '라디오', '하다', '세트', '매', '두다']"
241,그걸 금이야 옥이야 하면서 방송국의 마이크를 통해 오는 남도 소리며,"[('그걸', 'Adverb'), ('금', 'Noun'), ('이야', 'Josa'), ('옥', 'Noun'), ('이야', 'Josa'), ('하다', 'Verb'), ('방송국', 'Noun'), ('의', 'Josa'), ('마이크', 'Noun'), ('를', 'Josa'), ('통해', 'Noun'), ('오다', 'Verb'), ('남도', 'Noun'), ('소리', 'Noun'), ('며', 'Josa')]","['금', '옥', '하다', '방송국', '마이크', '통해', '오다', '남도', '소리']"
242,음률 가사 같은 것을 듣고는 합니다.,"[('음률', 'Noun'), ('가사', 'Noun'), ('같다', 'Adjective'), ('것', 'Noun'), ('을', 'Josa'), ('듣다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['음률', '가사', '같다', '것', '듣다', '하다']"
243,장죽을 기다랗게 물고는 보료 위에 편안히 드러누워 좋다!,"[('장죽', 'Noun'), ('을', 'Josa'), ('기다랗', 'Noun'), ('게', 'Josa'), ('물다', 'Verb'), ('보료', 'Noun'), ('위', 'Noun'), ('에', 'Josa'), ('편안하다', 'Adjective'), ('드러눕다', 'Verb'), ('좋다', 'Adjective'), ('!', 'Punctuation')]","['장죽', '기다랗', '물다', '보료', '위', '편안하다', '드러눕다', '좋다']"
244,소리를 연해 쳐가면서 즐거운 그 음악소리를 듣노라면,"[('소리', 'Noun'), ('를', 'Josa'), ('연해', 'Noun'), ('치다', 'Verb'), ('즐겁다', 'Adjective'), ('그', 'Noun'), ('음악', 'Noun'), ('소리', 'Noun'), ('를', 'Josa'), ('듣다', 'Verb')]","['소리', '연해', '치다', '즐겁다', '그', '음악', '소리', '듣다']"
245,고년들의 이쁘게 생긴 얼굴이나 광대들의 거동이 눈에 보이지 않아서 유감은 유감이지만,"[('고', 'Modifier'), ('년', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('이쁘다', 'Adjective'), ('생기다', 'Verb'), ('얼굴', 'Noun'), ('이나', 'Josa'), ('광대', 'Noun'), ('들', 'Suffix'), ('의', 'Josa'), ('거동', 'Noun'), ('이', 'Josa'), ('눈', 'Noun'), ('에', 'Josa'), ('보이지', 'Noun'), ('않다', 'Verb'), ('유감', 'Noun'), ('은', 'Josa'), ('유감', 'Noun'), ('이지만', 'Josa')]","['년', '이쁘다', '생기다', '얼굴', '광대', '거동', '눈', '보이지', '않다', '유감', '유감']"
246,그래도 좋기야 참 좋습니다.,"[('그래도', 'Adverb'), ('좋다', 'Adjective'), ('기', 'Noun'), ('야', 'Josa'), ('차다', 'Verb'), ('좋다', 'Adjective'), ('.', 'Punctuation')]","['좋다', '기', '차다', '좋다']"
247,라디오를 프로그램대로 음악을 조종하는 소임은 윤직원 영감의 차인 겸 비서 겸 무엇 겸 직함이 수두룩한 대복(大福)이가 맡아 합니다.,"[('라디오', 'Noun'), ('를', 'Josa'), ('프로그램', 'Noun'), ('대로', 'Josa'), ('음악', 'Noun'), ('을', 'Josa'), ('조종', 'Noun'), ('하다', 'Verb'), ('소임', 'Noun'), ('은', 'Josa'), ('윤직', 'Noun'), ('원', 'Suffix'), ('영감', 'Noun'), ('의', 'Josa'), ('차이다', 'Verb'), ('겸', 'Noun'), ('비서', 'Noun'), ('겸', 'Noun'), ('무엇', 'Noun'), ('겸', 'Noun'), ('직함', 'Noun'), ('이', 'Josa'), ('수두', 'Noun'), ('룩', 'Suffix'), ('한', 'Josa'), ('대', 'Modifier'), ('복', 'Noun'), ('(', 'Punctuation'), ('大福', 'Foreign'), (')', 'Punctuation'), ('이', 'Noun'), ('가', 'Josa'), ('맡다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['라디오', '프로그램', '음악', '조종', '하다', '소임', '윤직', '영감', '차이다', '겸', '비서', '겸', '무엇', '겸', '직함', '수두', '복', '이', '맡다', '하다']"
248,혹시 남도소리나 음률 가사 같은 것이 없는 날일라치면 대복이가 생으로 벼락을 맞아야 합니다.,"[('혹시', 'Noun'), ('남도', 'Noun'), ('소리', 'Noun'), ('나', 'Josa'), ('음률', 'Noun'), ('가사', 'Noun'), ('같다', 'Adjective'), ('것', 'Noun'), ('이', 'Josa'), ('없다', 'Adjective'), ('날', 'Noun'), ('이르다', 'Verb'), ('대', 'Modifier'), ('복', 'Noun'), ('이', 'Suffix'), ('가', 'Josa'), ('생으로', 'Noun'), ('벼락', 'Noun'), ('을', 'Josa'), ('맞다', 'Verb'), ('하다', 'Verb'), ('.', 'Punctuation')]","['혹시', '남도', '소리', '음률', '가사', '같다', '것', '없다', '날', '이르다', '복', '생으로', '벼락', '맞다', '하다']"
249,"""게","[('""', 'Punctuation'), ('게', 'Noun')]",['게']
250,밥은 남같이 하루에 시 그릇썩 먹으먼서,"[('밥', 'Noun'), ('은', 'Josa'), ('남', 'Noun'), ('같이', 'Josa'), ('하루', 'Noun'), ('에', 'Josa'), ('시', 'Noun'), ('그릇', 'Noun'), ('썩', 'Noun'), ('먹다', 'Verb'), ('멀다', 'Adjective')]","['밥', '남', '하루', '시', '그릇', '썩', '먹다', '멀다']"
251,그래,"[('그렇다', 'Adjective')]",['그렇다']
252,어떻기 사람이 멍청 허 먼,"[('어떻다', 'Adjective'), ('사람', 'Noun'), ('이', 'Josa'), ('멍청', 'Noun'), ('허다', 'Verb'), ('멀다', 'Adjective')]","['어떻다', '사람', '멍청', '허다', '멀다']"
